Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.1	Src1	combined	Drop	0	0	0	0
0.1	Src2	combined	Drop	0	0	0	0
0.1	Rtr1	combined	Drop	0	0	0	0
0.1	Rtr2	combined	Drop	0	0	0	0
0.1	Rtr3	combined	Drop	0	0	0	0
0.1	Rtr4	combined	Drop	0	0	0	0
0.1	Rtr5	combined	Drop	0	0	0	0
0.1	Rtr6	combined	Drop	0	0	0	0
0.1	Rtr7	combined	Drop	0	0	0	0
0.1	Rtr8	combined	Drop	0	0	0	0
0.1	Rtr9	combined	Drop	0	0	0	0
0.1	Rtr10	combined	Drop	0	0	0	0
0.1	Rtr11	combined	Drop	0	0	0	0
0.1	Rtr12	combined	Drop	0	0	0	0
0.1	Rtr13	combined	Drop	0	0	0	0
0.1	Rtr14	combined	Drop	0	0	0	0
0.1	Rtr15	combined	Drop	0	0	0	0
0.1	Rtr16	combined	Drop	0	0	0	0
0.1	Rtr17	combined	Drop	0	0	0	0
0.1	Dst1	combined	Drop	0	0	0	0
0.1	Dst2	combined	Drop	0	0	0	0
0.2	Src1	combined	Drop	0	0	0	0
0.2	Src2	combined	Drop	0	0	0	0
0.2	Rtr1	combined	Drop	0	0	0	0
0.2	Rtr2	combined	Drop	0	0	0	0
0.2	Rtr3	combined	Drop	0	0	0	0
0.2	Rtr4	combined	Drop	0	0	0	0
0.2	Rtr5	combined	Drop	0	0	0	0
0.2	Rtr6	combined	Drop	0	0	0	0
0.2	Rtr7	combined	Drop	0	0	0	0
0.2	Rtr8	combined	Drop	0	0	0	0
0.2	Rtr9	combined	Drop	0	0	0	0
0.2	Rtr10	combined	Drop	0	0	0	0
0.2	Rtr11	combined	Drop	0	0	0	0
0.2	Rtr12	combined	Drop	0	0	0	0
0.2	Rtr13	combined	Drop	0	0	0	0
0.2	Rtr14	combined	Drop	0	0	0	0
0.2	Rtr15	combined	Drop	0	0	0	0
0.2	Rtr16	combined	Drop	0	0	0	0
0.2	Rtr17	combined	Drop	0	0	0	0
0.2	Dst1	combined	Drop	0	0	0	0
0.2	Dst2	combined	Drop	0	0	0	0
0.3	Src1	combined	Drop	0	0	0	0
0.3	Src2	combined	Drop	0	0	0	0
0.3	Rtr1	combined	Drop	0	0	0	0
0.3	Rtr2	combined	Drop	0	0	0	0
0.3	Rtr3	combined	Drop	0	0	0	0
0.3	Rtr4	combined	Drop	0	0	0	0
0.3	Rtr5	combined	Drop	0	0	0	0
0.3	Rtr6	combined	Drop	0	0	0	0
0.3	Rtr7	combined	Drop	0	0	0	0
0.3	Rtr8	combined	Drop	0	0	0	0
0.3	Rtr9	combined	Drop	8	10	1	1.25586
0.3	Rtr10	combined	Drop	0	0	0	0
0.3	Rtr11	combined	Drop	0	0	0	0
0.3	Rtr12	combined	Drop	0	0	0	0
0.3	Rtr13	combined	Drop	0	0	0	0
0.3	Rtr14	combined	Drop	0	0	0	0
0.3	Rtr15	combined	Drop	0	0	0	0
0.3	Rtr16	combined	Drop	0	0	0	0
0.3	Rtr17	combined	Drop	0	0	0	0
0.3	Dst1	combined	Drop	0	0	0	0
0.3	Dst2	combined	Drop	0	0	0	0
0.4	Src1	combined	Drop	0	0	0	0
0.4	Src2	combined	Drop	0	0	0	0
0.4	Rtr1	combined	Drop	0	0	0	0
0.4	Rtr2	combined	Drop	0	0	0	0
0.4	Rtr3	combined	Drop	0	0	0	0
0.4	Rtr4	combined	Drop	0	0	0	0
0.4	Rtr5	combined	Drop	0	0	0	0
0.4	Rtr6	combined	Drop	0	0	0	0
0.4	Rtr7	combined	Drop	0	0	0	0
0.4	Rtr8	combined	Drop	0	0	0	0
0.4	Rtr9	combined	Drop	1	1	0	0
0.4	Rtr10	combined	Drop	0	0	0	0
0.4	Rtr11	combined	Drop	0	0	0	0
0.4	Rtr12	combined	Drop	0	0	0	0
0.4	Rtr13	combined	Drop	0	0	0	0
0.4	Rtr14	combined	Drop	0	0	0	0
0.4	Rtr15	combined	Drop	0	0	0	0
0.4	Rtr16	combined	Drop	0	0	0	0
0.4	Rtr17	combined	Drop	0	0	0	0
0.4	Dst1	combined	Drop	0	0	0	0
0.4	Dst2	combined	Drop	0	0	0	0
0.5	Src1	combined	Drop	0	0	0	0
0.5	Src2	combined	Drop	0	0	0	0
0.5	Rtr1	combined	Drop	0	0	0	0
0.5	Rtr2	combined	Drop	0	0	0	0
0.5	Rtr3	combined	Drop	0	0	0	0
0.5	Rtr4	combined	Drop	0	0	0	0
0.5	Rtr5	combined	Drop	0	0	0	0
0.5	Rtr6	combined	Drop	0	0	0	0
0.5	Rtr7	combined	Drop	0	0	0	0
0.5	Rtr8	combined	Drop	0	0	0	0
0.5	Rtr9	combined	Drop	0	0	0	0
0.5	Rtr10	combined	Drop	0	0	0	0
0.5	Rtr11	combined	Drop	0	0	0	0
0.5	Rtr12	combined	Drop	0	0	0	0
0.5	Rtr13	combined	Drop	0	0	0	0
0.5	Rtr14	combined	Drop	0	0	0	0
0.5	Rtr15	combined	Drop	0	0	0	0
0.5	Rtr16	combined	Drop	0	0	0	0
0.5	Rtr17	combined	Drop	0	0	0	0
0.5	Dst1	combined	Drop	0	0	0	0
0.5	Dst2	combined	Drop	0	0	0	0
0.6	Src1	combined	Drop	0	0	0	0
0.6	Src2	combined	Drop	0	0	0	0
0.6	Rtr1	combined	Drop	0	0	0	0
0.6	Rtr2	combined	Drop	0	0	0	0
0.6	Rtr3	combined	Drop	0	0	0	0
0.6	Rtr4	combined	Drop	0	0	0	0
0.6	Rtr5	combined	Drop	0	0	0	0
0.6	Rtr6	combined	Drop	0	0	0	0
0.6	Rtr7	combined	Drop	0	0	0	0
0.6	Rtr8	combined	Drop	0	0	0	0
0.6	Rtr9	combined	Drop	0	0	0	0
0.6	Rtr10	combined	Drop	0	0	0	0
0.6	Rtr11	combined	Drop	0	0	0	0
0.6	Rtr12	combined	Drop	0	0	0	0
0.6	Rtr13	combined	Drop	0	0	0	0
0.6	Rtr14	combined	Drop	0	0	0	0
0.6	Rtr15	combined	Drop	0	0	0	0
0.6	Rtr16	combined	Drop	0	0	0	0
0.6	Rtr17	combined	Drop	0	0	0	0
0.6	Dst1	combined	Drop	0	0	0	0
0.6	Dst2	combined	Drop	0	0	0	0
0.7	Src1	combined	Drop	0	0	0	0
0.7	Src2	combined	Drop	0	0	0	0
0.7	Rtr1	combined	Drop	0	0	0	0
0.7	Rtr2	combined	Drop	0	0	0	0
0.7	Rtr3	combined	Drop	0	0	0	0
0.7	Rtr4	combined	Drop	0	0	0	0
0.7	Rtr5	combined	Drop	0	0	0	0
0.7	Rtr6	combined	Drop	0	0	0	0
0.7	Rtr7	combined	Drop	0	0	0	0
0.7	Rtr8	combined	Drop	0	0	0	0
0.7	Rtr9	combined	Drop	0	0	0	0
0.7	Rtr10	combined	Drop	0	0	0	0
0.7	Rtr11	combined	Drop	0	0	0	0
0.7	Rtr12	combined	Drop	0	0	0	0
0.7	Rtr13	combined	Drop	0	0	0	0
0.7	Rtr14	combined	Drop	0	0	0	0
0.7	Rtr15	combined	Drop	0	0	0	0
0.7	Rtr16	combined	Drop	0	0	0	0
0.7	Rtr17	combined	Drop	0	0	0	0
0.7	Dst1	combined	Drop	0	0	0	0
0.7	Dst2	combined	Drop	0	0	0	0
0.8	Src1	combined	Drop	0	0	0	0
0.8	Src2	combined	Drop	0	0	0	0
0.8	Rtr1	combined	Drop	0	0	0	0
0.8	Rtr2	combined	Drop	0	0	0	0
0.8	Rtr3	combined	Drop	0	0	0	0
0.8	Rtr4	combined	Drop	0	0	0	0
0.8	Rtr5	combined	Drop	0	0	0	0
0.8	Rtr6	combined	Drop	0	0	0	0
0.8	Rtr7	combined	Drop	0	0	0	0
0.8	Rtr8	combined	Drop	0	0	0	0
0.8	Rtr9	combined	Drop	0	0	0	0
0.8	Rtr10	combined	Drop	0	0	0	0
0.8	Rtr11	combined	Drop	0	0	0	0
0.8	Rtr12	combined	Drop	0	0	0	0
0.8	Rtr13	combined	Drop	0	0	0	0
0.8	Rtr14	combined	Drop	0	0	0	0
0.8	Rtr15	combined	Drop	0	0	0	0
0.8	Rtr16	combined	Drop	0	0	0	0
0.8	Rtr17	combined	Drop	0	0	0	0
0.8	Dst1	combined	Drop	0	0	0	0
0.8	Dst2	combined	Drop	0	0	0	0
0.9	Src1	combined	Drop	0	0	0	0
0.9	Src2	combined	Drop	0	0	0	0
0.9	Rtr1	combined	Drop	0	0	0	0
0.9	Rtr2	combined	Drop	0	0	0	0
0.9	Rtr3	combined	Drop	0	0	0	0
0.9	Rtr4	combined	Drop	0	0	0	0
0.9	Rtr5	combined	Drop	0	0	0	0
0.9	Rtr6	combined	Drop	0	0	0	0
0.9	Rtr7	combined	Drop	0	0	0	0
0.9	Rtr8	combined	Drop	0	0	0	0
0.9	Rtr9	combined	Drop	0	0	0	0
0.9	Rtr10	combined	Drop	0	0	0	0
0.9	Rtr11	combined	Drop	0	0	0	0
0.9	Rtr12	combined	Drop	0	0	0	0
0.9	Rtr13	combined	Drop	0	0	0	0
0.9	Rtr14	combined	Drop	0	0	0	0
0.9	Rtr15	combined	Drop	0	0	0	0
0.9	Rtr16	combined	Drop	0	0	0	0
0.9	Rtr17	combined	Drop	0	0	0	0
0.9	Dst1	combined	Drop	0	0	0	0
0.9	Dst2	combined	Drop	0	0	0	0
1	Src1	combined	Drop	0	0	0	0
1	Src2	combined	Drop	0	0	0	0
1	Rtr1	combined	Drop	0	0	0	0
1	Rtr2	combined	Drop	0	0	0	0
1	Rtr3	combined	Drop	0	0	0	0
1	Rtr4	combined	Drop	0	0	0	0
1	Rtr5	combined	Drop	0	0	0	0
1	Rtr6	combined	Drop	0	0	0	0
1	Rtr7	combined	Drop	0	0	0	0
1	Rtr8	combined	Drop	0	0	0	0
1	Rtr9	combined	Drop	0	0	0	0
1	Rtr10	combined	Drop	0	0	0	0
1	Rtr11	combined	Drop	0	0	0	0
1	Rtr12	combined	Drop	0	0	0	0
1	Rtr13	combined	Drop	0	0	0	0
1	Rtr14	combined	Drop	0	0	0	0
1	Rtr15	combined	Drop	0	0	0	0
1	Rtr16	combined	Drop	0	0	0	0
1	Rtr17	combined	Drop	0	0	0	0
1	Dst1	combined	Drop	0	0	0	0
1	Dst2	combined	Drop	0	0	0	0
1.1	Src1	combined	Drop	0	0	0	0
1.1	Src2	combined	Drop	0	0	0	0
1.1	Rtr1	combined	Drop	0	0	0	0
1.1	Rtr2	combined	Drop	0	0	0	0
1.1	Rtr3	combined	Drop	0	0	0	0
1.1	Rtr4	combined	Drop	0	0	0	0
1.1	Rtr5	combined	Drop	0	0	0	0
1.1	Rtr6	combined	Drop	0	0	0	0
1.1	Rtr7	combined	Drop	0	0	0	0
1.1	Rtr8	combined	Drop	0	0	0	0
1.1	Rtr9	combined	Drop	0	0	0	0
1.1	Rtr10	combined	Drop	0	0	0	0
1.1	Rtr11	combined	Drop	0	0	0	0
1.1	Rtr12	combined	Drop	0	0	0	0
1.1	Rtr13	combined	Drop	0	0	0	0
1.1	Rtr14	combined	Drop	0	0	0	0
1.1	Rtr15	combined	Drop	0	0	0	0
1.1	Rtr16	combined	Drop	0	0	0	0
1.1	Rtr17	combined	Drop	0	0	0	0
1.1	Dst1	combined	Drop	0	0	0	0
1.1	Dst2	combined	Drop	0	0	0	0
1.2	Src1	combined	Drop	0	0	0	0
1.2	Src2	combined	Drop	0	0	0	0
1.2	Rtr1	combined	Drop	0	0	0	0
1.2	Rtr2	combined	Drop	0	0	0	0
1.2	Rtr3	combined	Drop	0	0	0	0
1.2	Rtr4	combined	Drop	0	0	0	0
1.2	Rtr5	combined	Drop	0	0	0	0
1.2	Rtr6	combined	Drop	0	0	0	0
1.2	Rtr7	combined	Drop	0	0	0	0
1.2	Rtr8	combined	Drop	0	0	0	0
1.2	Rtr9	combined	Drop	0	0	0	0
1.2	Rtr10	combined	Drop	0	0	0	0
1.2	Rtr11	combined	Drop	0	0	0	0
1.2	Rtr12	combined	Drop	0	0	0	0
1.2	Rtr13	combined	Drop	0	0	0	0
1.2	Rtr14	combined	Drop	0	0	0	0
1.2	Rtr15	combined	Drop	0	0	0	0
1.2	Rtr16	combined	Drop	0	0	0	0
1.2	Rtr17	combined	Drop	0	0	0	0
1.2	Dst1	combined	Drop	0	0	0	0
1.2	Dst2	combined	Drop	0	0	0	0
1.3	Src1	combined	Drop	0	0	0	0
1.3	Src2	combined	Drop	0	0	0	0
1.3	Rtr1	combined	Drop	0	0	0	0
1.3	Rtr2	combined	Drop	0	0	0	0
1.3	Rtr3	combined	Drop	0	0	0	0
1.3	Rtr4	combined	Drop	0	0	0	0
1.3	Rtr5	combined	Drop	0	0	0	0
1.3	Rtr6	combined	Drop	0	0	0	0
1.3	Rtr7	combined	Drop	0	0	0	0
1.3	Rtr8	combined	Drop	0	0	0	0
1.3	Rtr9	combined	Drop	0	0	0	0
1.3	Rtr10	combined	Drop	0	0	0	0
1.3	Rtr11	combined	Drop	0	0	0	0
1.3	Rtr12	combined	Drop	0	0	0	0
1.3	Rtr13	combined	Drop	0	0	0	0
1.3	Rtr14	combined	Drop	0	0	0	0
1.3	Rtr15	combined	Drop	0	0	0	0
1.3	Rtr16	combined	Drop	0	0	0	0
1.3	Rtr17	combined	Drop	0	0	0	0
1.3	Dst1	combined	Drop	0	0	0	0
1.3	Dst2	combined	Drop	0	0	0	0
1.4	Src1	combined	Drop	0	0	0	0
1.4	Src2	combined	Drop	0	0	0	0
1.4	Rtr1	combined	Drop	0	0	0	0
1.4	Rtr2	combined	Drop	0	0	0	0
1.4	Rtr3	combined	Drop	0	0	0	0
1.4	Rtr4	combined	Drop	0	0	0	0
1.4	Rtr5	combined	Drop	0	0	0	0
1.4	Rtr6	combined	Drop	0	0	0	0
1.4	Rtr7	combined	Drop	0	0	0	0
1.4	Rtr8	combined	Drop	0	0	0	0
1.4	Rtr9	combined	Drop	0	0	0	0
1.4	Rtr10	combined	Drop	0	0	0	0
1.4	Rtr11	combined	Drop	0	0	0	0
1.4	Rtr12	combined	Drop	0	0	0	0
1.4	Rtr13	combined	Drop	0	0	0	0
1.4	Rtr14	combined	Drop	0	0	0	0
1.4	Rtr15	combined	Drop	0	0	0	0
1.4	Rtr16	combined	Drop	0	0	0	0
1.4	Rtr17	combined	Drop	0	0	0	0
1.4	Dst1	combined	Drop	0	0	0	0
1.4	Dst2	combined	Drop	0	0	0	0
1.5	Src1	combined	Drop	0	0	0	0
1.5	Src2	combined	Drop	0	0	0	0
1.5	Rtr1	combined	Drop	0	0	0	0
1.5	Rtr2	combined	Drop	0	0	0	0
1.5	Rtr3	combined	Drop	0	0	0	0
1.5	Rtr4	combined	Drop	0	0	0	0
1.5	Rtr5	combined	Drop	0	0	0	0
1.5	Rtr6	combined	Drop	0	0	0	0
1.5	Rtr7	combined	Drop	0	0	0	0
1.5	Rtr8	combined	Drop	0	0	0	0
1.5	Rtr9	combined	Drop	0	0	0	0
1.5	Rtr10	combined	Drop	0	0	0	0
1.5	Rtr11	combined	Drop	0	0	0	0
1.5	Rtr12	combined	Drop	0	0	0	0
1.5	Rtr13	combined	Drop	0	0	0	0
1.5	Rtr14	combined	Drop	0	0	0	0
1.5	Rtr15	combined	Drop	0	0	0	0
1.5	Rtr16	combined	Drop	0	0	0	0
1.5	Rtr17	combined	Drop	0	0	0	0
1.5	Dst1	combined	Drop	0	0	0	0
1.5	Dst2	combined	Drop	0	0	0	0
1.6	Src1	combined	Drop	0	0	0	0
1.6	Src2	combined	Drop	0	0	0	0
1.6	Rtr1	combined	Drop	0	0	0	0
1.6	Rtr2	combined	Drop	0	0	0	0
1.6	Rtr3	combined	Drop	0	0	0	0
1.6	Rtr4	combined	Drop	0	0	0	0
1.6	Rtr5	combined	Drop	0	0	0	0
1.6	Rtr6	combined	Drop	0	0	0	0
1.6	Rtr7	combined	Drop	0	0	0	0
1.6	Rtr8	combined	Drop	0	0	0	0
1.6	Rtr9	combined	Drop	0	0	0	0
1.6	Rtr10	combined	Drop	0	0	0	0
1.6	Rtr11	combined	Drop	0	0	0	0
1.6	Rtr12	combined	Drop	0	0	0	0
1.6	Rtr13	combined	Drop	0	0	0	0
1.6	Rtr14	combined	Drop	0	0	0	0
1.6	Rtr15	combined	Drop	0	0	0	0
1.6	Rtr16	combined	Drop	0	0	0	0
1.6	Rtr17	combined	Drop	0	0	0	0
1.6	Dst1	combined	Drop	0	0	0	0
1.6	Dst2	combined	Drop	0	0	0	0
1.7	Src1	combined	Drop	0	0	0	0
1.7	Src2	combined	Drop	0	0	0	0
1.7	Rtr1	combined	Drop	0	0	0	0
1.7	Rtr2	combined	Drop	0	0	0	0
1.7	Rtr3	combined	Drop	0	0	0	0
1.7	Rtr4	combined	Drop	0	0	0	0
1.7	Rtr5	combined	Drop	0	0	0	0
1.7	Rtr6	combined	Drop	0	0	0	0
1.7	Rtr7	combined	Drop	0	0	0	0
1.7	Rtr8	combined	Drop	0	0	0	0
1.7	Rtr9	combined	Drop	0	0	0	0
1.7	Rtr10	combined	Drop	0	0	0	0
1.7	Rtr11	combined	Drop	0	0	0	0
1.7	Rtr12	combined	Drop	0	0	0	0
1.7	Rtr13	combined	Drop	0	0	0	0
1.7	Rtr14	combined	Drop	0	0	0	0
1.7	Rtr15	combined	Drop	0	0	0	0
1.7	Rtr16	combined	Drop	0	0	0	0
1.7	Rtr17	combined	Drop	0	0	0	0
1.7	Dst1	combined	Drop	0	0	0	0
1.7	Dst2	combined	Drop	0	0	0	0
1.8	Src1	combined	Drop	0	0	0	0
1.8	Src2	combined	Drop	0	0	0	0
1.8	Rtr1	combined	Drop	0	0	0	0
1.8	Rtr2	combined	Drop	0	0	0	0
1.8	Rtr3	combined	Drop	0	0	0	0
1.8	Rtr4	combined	Drop	0	0	0	0
1.8	Rtr5	combined	Drop	0	0	0	0
1.8	Rtr6	combined	Drop	0	0	0	0
1.8	Rtr7	combined	Drop	0	0	0	0
1.8	Rtr8	combined	Drop	0	0	0	0
1.8	Rtr9	combined	Drop	0	0	0	0
1.8	Rtr10	combined	Drop	0	0	0	0
1.8	Rtr11	combined	Drop	0	0	0	0
1.8	Rtr12	combined	Drop	0	0	0	0
1.8	Rtr13	combined	Drop	0	0	0	0
1.8	Rtr14	combined	Drop	0	0	0	0
1.8	Rtr15	combined	Drop	0	0	0	0
1.8	Rtr16	combined	Drop	0	0	0	0
1.8	Rtr17	combined	Drop	0	0	0	0
1.8	Dst1	combined	Drop	0	0	0	0
1.8	Dst2	combined	Drop	0	0	0	0
1.9	Src1	combined	Drop	0	0	0	0
1.9	Src2	combined	Drop	0	0	0	0
1.9	Rtr1	combined	Drop	0	0	0	0
1.9	Rtr2	combined	Drop	0	0	0	0
1.9	Rtr3	combined	Drop	0	0	0	0
1.9	Rtr4	combined	Drop	0	0	0	0
1.9	Rtr5	combined	Drop	0	0	0	0
1.9	Rtr6	combined	Drop	0	0	0	0
1.9	Rtr7	combined	Drop	0	0	0	0
1.9	Rtr8	combined	Drop	0	0	0	0
1.9	Rtr9	combined	Drop	0	0	0	0
1.9	Rtr10	combined	Drop	0	0	0	0
1.9	Rtr11	combined	Drop	0	0	0	0
1.9	Rtr12	combined	Drop	0	0	0	0
1.9	Rtr13	combined	Drop	0	0	0	0
1.9	Rtr14	combined	Drop	0	0	0	0
1.9	Rtr15	combined	Drop	0	0	0	0
1.9	Rtr16	combined	Drop	0	0	0	0
1.9	Rtr17	combined	Drop	0	0	0	0
1.9	Dst1	combined	Drop	0	0	0	0
1.9	Dst2	combined	Drop	0	0	0	0
2	Src1	combined	Drop	0	0	0	0
2	Src2	combined	Drop	0	0	0	0
2	Rtr1	combined	Drop	0	0	0	0
2	Rtr2	combined	Drop	0	0	0	0
2	Rtr3	combined	Drop	0	0	0	0
2	Rtr4	combined	Drop	0	0	0	0
2	Rtr5	combined	Drop	0	0	0	0
2	Rtr6	combined	Drop	0	0	0	0
2	Rtr7	combined	Drop	0	0	0	0
2	Rtr8	combined	Drop	0	0	0	0
2	Rtr9	combined	Drop	0	0	0	0
2	Rtr10	combined	Drop	0	0	0	0
2	Rtr11	combined	Drop	0	0	0	0
2	Rtr12	combined	Drop	0	0	0	0
2	Rtr13	combined	Drop	0	0	0	0
2	Rtr14	combined	Drop	0	0	0	0
2	Rtr15	combined	Drop	0	0	0	0
2	Rtr16	combined	Drop	0	0	0	0
2	Rtr17	combined	Drop	0	0	0	0
2	Dst1	combined	Drop	0	0	0	0
2	Dst2	combined	Drop	0	0	0	0
2.1	Src1	combined	Drop	0	0	0	0
2.1	Src2	combined	Drop	0	0	0	0
2.1	Rtr1	combined	Drop	0	0	0	0
2.1	Rtr2	combined	Drop	0	0	0	0
2.1	Rtr3	combined	Drop	0	0	0	0
2.1	Rtr4	combined	Drop	0	0	0	0
2.1	Rtr5	combined	Drop	0	0	0	0
2.1	Rtr6	combined	Drop	0	0	0	0
2.1	Rtr7	combined	Drop	0	0	0	0
2.1	Rtr8	combined	Drop	0	0	0	0
2.1	Rtr9	combined	Drop	0	0	0	0
2.1	Rtr10	combined	Drop	0	0	0	0
2.1	Rtr11	combined	Drop	0	0	0	0
2.1	Rtr12	combined	Drop	0	0	0	0
2.1	Rtr13	combined	Drop	0	0	0	0
2.1	Rtr14	combined	Drop	0	0	0	0
2.1	Rtr15	combined	Drop	0	0	0	0
2.1	Rtr16	combined	Drop	0	0	0	0
2.1	Rtr17	combined	Drop	0	0	0	0
2.1	Dst1	combined	Drop	0	0	0	0
2.1	Dst2	combined	Drop	0	0	0	0
2.2	Src1	combined	Drop	0	0	0	0
2.2	Src2	combined	Drop	0	0	0	0
2.2	Rtr1	combined	Drop	0	0	0	0
2.2	Rtr2	combined	Drop	0	0	0	0
2.2	Rtr3	combined	Drop	0	0	0	0
2.2	Rtr4	combined	Drop	0	0	0	0
2.2	Rtr5	combined	Drop	0	0	0	0
2.2	Rtr6	combined	Drop	0	0	0	0
2.2	Rtr7	combined	Drop	0	0	0	0
2.2	Rtr8	combined	Drop	0	0	0	0
2.2	Rtr9	combined	Drop	0	0	0	0
2.2	Rtr10	combined	Drop	0	0	0	0
2.2	Rtr11	combined	Drop	0	0	0	0
2.2	Rtr12	combined	Drop	0	0	0	0
2.2	Rtr13	combined	Drop	0	0	0	0
2.2	Rtr14	combined	Drop	0	0	0	0
2.2	Rtr15	combined	Drop	0	0	0	0
2.2	Rtr16	combined	Drop	0	0	0	0
2.2	Rtr17	combined	Drop	0	0	0	0
2.2	Dst1	combined	Drop	0	0	0	0
2.2	Dst2	combined	Drop	0	0	0	0
2.3	Src1	combined	Drop	0	0	0	0
2.3	Src2	combined	Drop	0	0	0	0
2.3	Rtr1	combined	Drop	0	0	0	0
2.3	Rtr2	combined	Drop	0	0	0	0
2.3	Rtr3	combined	Drop	0	0	0	0
2.3	Rtr4	combined	Drop	0	0	0	0
2.3	Rtr5	combined	Drop	0	0	0	0
2.3	Rtr6	combined	Drop	0	0	0	0
2.3	Rtr7	combined	Drop	0	0	0	0
2.3	Rtr8	combined	Drop	0	0	0	0
2.3	Rtr9	combined	Drop	0	0	0	0
2.3	Rtr10	combined	Drop	0	0	0	0
2.3	Rtr11	combined	Drop	0	0	0	0
2.3	Rtr12	combined	Drop	0	0	0	0
2.3	Rtr13	combined	Drop	0	0	0	0
2.3	Rtr14	combined	Drop	0	0	0	0
2.3	Rtr15	combined	Drop	0	0	0	0
2.3	Rtr16	combined	Drop	0	0	0	0
2.3	Rtr17	combined	Drop	0	0	0	0
2.3	Dst1	combined	Drop	0	0	0	0
2.3	Dst2	combined	Drop	0	0	0	0
2.4	Src1	combined	Drop	0	0	0	0
2.4	Src2	combined	Drop	0	0	0	0
2.4	Rtr1	combined	Drop	0	0	0	0
2.4	Rtr2	combined	Drop	0	0	0	0
2.4	Rtr3	combined	Drop	0	0	0	0
2.4	Rtr4	combined	Drop	0	0	0	0
2.4	Rtr5	combined	Drop	0	0	0	0
2.4	Rtr6	combined	Drop	0	0	0	0
2.4	Rtr7	combined	Drop	0	0	0	0
2.4	Rtr8	combined	Drop	0	0	0	0
2.4	Rtr9	combined	Drop	0	0	0	0
2.4	Rtr10	combined	Drop	0	0	0	0
2.4	Rtr11	combined	Drop	0	0	0	0
2.4	Rtr12	combined	Drop	0	0	0	0
2.4	Rtr13	combined	Drop	0	0	0	0
2.4	Rtr14	combined	Drop	0	0	0	0
2.4	Rtr15	combined	Drop	0	0	0	0
2.4	Rtr16	combined	Drop	0	0	0	0
2.4	Rtr17	combined	Drop	0	0	0	0
2.4	Dst1	combined	Drop	0	0	0	0
2.4	Dst2	combined	Drop	0	0	0	0
2.5	Src1	combined	Drop	0	0	0	0
2.5	Src2	combined	Drop	0	0	0	0
2.5	Rtr1	combined	Drop	0	0	0	0
2.5	Rtr2	combined	Drop	0	0	0	0
2.5	Rtr3	combined	Drop	0	0	0	0
2.5	Rtr4	combined	Drop	0	0	0	0
2.5	Rtr5	combined	Drop	0	0	0	0
2.5	Rtr6	combined	Drop	0	0	0	0
2.5	Rtr7	combined	Drop	0	0	0	0
2.5	Rtr8	combined	Drop	0	0	0	0
2.5	Rtr9	combined	Drop	0	0	0	0
2.5	Rtr10	combined	Drop	0	0	0	0
2.5	Rtr11	combined	Drop	0	0	0	0
2.5	Rtr12	combined	Drop	0	0	0	0
2.5	Rtr13	combined	Drop	0	0	0	0
2.5	Rtr14	combined	Drop	0	0	0	0
2.5	Rtr15	combined	Drop	0	0	0	0
2.5	Rtr16	combined	Drop	0	0	0	0
2.5	Rtr17	combined	Drop	0	0	0	0
2.5	Dst1	combined	Drop	0	0	0	0
2.5	Dst2	combined	Drop	0	0	0	0
2.6	Src1	combined	Drop	0	0	0	0
2.6	Src2	combined	Drop	0	0	0	0
2.6	Rtr1	combined	Drop	0	0	0	0
2.6	Rtr2	combined	Drop	0	0	0	0
2.6	Rtr3	combined	Drop	0	0	0	0
2.6	Rtr4	combined	Drop	0	0	0	0
2.6	Rtr5	combined	Drop	0	0	0	0
2.6	Rtr6	combined	Drop	0	0	0	0
2.6	Rtr7	combined	Drop	0	0	0	0
2.6	Rtr8	combined	Drop	0	0	0	0
2.6	Rtr9	combined	Drop	0	0	0	0
2.6	Rtr10	combined	Drop	0	0	0	0
2.6	Rtr11	combined	Drop	0	0	0	0
2.6	Rtr12	combined	Drop	0	0	0	0
2.6	Rtr13	combined	Drop	0	0	0	0
2.6	Rtr14	combined	Drop	0	0	0	0
2.6	Rtr15	combined	Drop	0	0	0	0
2.6	Rtr16	combined	Drop	0	0	0	0
2.6	Rtr17	combined	Drop	0	0	0	0
2.6	Dst1	combined	Drop	0	0	0	0
2.6	Dst2	combined	Drop	0	0	0	0
2.7	Src1	combined	Drop	0	0	0	0
2.7	Src2	combined	Drop	0	0	0	0
2.7	Rtr1	combined	Drop	0	0	0	0
2.7	Rtr2	combined	Drop	0	0	0	0
2.7	Rtr3	combined	Drop	0	0	0	0
2.7	Rtr4	combined	Drop	0	0	0	0
2.7	Rtr5	combined	Drop	0	0	0	0
2.7	Rtr6	combined	Drop	0	0	0	0
2.7	Rtr7	combined	Drop	0	0	0	0
2.7	Rtr8	combined	Drop	0	0	0	0
2.7	Rtr9	combined	Drop	0	0	0	0
2.7	Rtr10	combined	Drop	0	0	0	0
2.7	Rtr11	combined	Drop	0	0	0	0
2.7	Rtr12	combined	Drop	0	0	0	0
2.7	Rtr13	combined	Drop	0	0	0	0
2.7	Rtr14	combined	Drop	0	0	0	0
2.7	Rtr15	combined	Drop	0	0	0	0
2.7	Rtr16	combined	Drop	0	0	0	0
2.7	Rtr17	combined	Drop	0	0	0	0
2.7	Dst1	combined	Drop	0	0	0	0
2.7	Dst2	combined	Drop	0	0	0	0
2.8	Src1	combined	Drop	0	0	0	0
